date,demand
2026-07-01,120
2026-07-02,128
2026-07-03,136
2026-07-04,151
2026-07-05,145
2026-07-06,116
2026-07-07,111
2026-07-08,124
2026-07-09,132
2026-07-10,140
2026-07-11,155
2026-07-12,149
2026-07-13,119
2026-07-14,114
2026-07-15,127
2026-07-16,135
2026-07-17,143
2026-07-18,159
2026-07-19,153
2026-07-20,122
2026-07-21,117
2026-07-22,130
2026-07-23,138
2026-07-24,147
2026-07-25,162
2026-07-26,157
2026-07-27,125
2026-07-28,120
2026-07-29,133
2026-07-30,142
2026-07-31,150
2026-08-01,166
2026-08-02,160
2026-08-03,128
2026-08-04,123
2026-08-05,136
2026-08-06,145
2026-08-07,153
2026-08-08,170
2026-08-09,164
2026-08-10,131
2026-08-11,126
2026-08-12,139
2026-08-13,148
2026-08-14,157
2026-08-15,173
2026-08-16,168
2026-08-17,134
2026-08-18,129
2026-08-19,142
2026-08-20,151
2026-08-21,160
2026-08-22,177
2026-08-23,171
2026-08-24,137
2026-08-25,132
2026-08-26,145
2026-08-27,154
2026-08-28,163
2026-08-29,181
2026-08-30,175
